Target,SemRelated_Prime,Unrelated_Prime
blah,idle,curb
idle,blah,damn
curb,damn,blah
damn,curb,idle
rave,hula,drab
hula,rave,ashy
drab,ashy,rave
ashy,drab,hula
bond,visa,trek
visa,bond,camp
trek,camp,bond
camp,trek,visa
tame,wild,crib
wild,tame,bunk
crib,bunk,tame
bunk,crib,wild
monk,hell,duet
hell,monk,trio
duet,trio,monk
trio,duet,hell
rite,sect,drum
sect,rite,gong
drum,gong,rite
gong,drum,sect
perm,comb,slap
comb,perm,bite
slap,bite,perm
bite,slap,comb
lice,bald,ajar
bald,lice,shut
ajar,shut,lice
shut,ajar,bald
doer,busy,main
busy,doer,crux
main,crux,doer
crux,main,busy
dome,hall,news
hall,dome,what
news,what,dome
what,news,hall
hemp,dill,gore
dill,hemp,clot
gore,clot,hemp
clot,gore,dill
loop,tied,heal
tied,loop,cure
heal,cure,loop
cure,heal,tied
vise,hook,kelp
hook,vise,clam
kelp,clam,vise
clam,kelp,hook
woof,oink,mast
oink,woof,hull
mast,hull,woof
hull,mast,oink
tyke,kids,blog
kids,tyke,mail
blog,mail,tyke
mail,blog,kids
corn,oats,envy
oats,corn,lust
envy,lust,corn
lust,envy,oats
soup,taco,peak
taco,soup,apex
peak,apex,soup
apex,peak,taco
turf,lawn,mono
lawn,turf,aids
mono,aids,turf
aids,mono,lawn
poor,slum,yarn
slum,poor,bead
yarn,bead,poor
bead,yarn,slum
pane,slab,goes
slab,pane,into
goes,into,pane
into,goes,slab
flew,soar,unto
soar,flew,thou
unto,thou,flew
thou,unto,soar
musk,shit,gimp
shit,musk,code
gimp,code,musk
code,gimp,shit
ammo,trap,bolt
trap,ammo,nail
bolt,nail,ammo
nail,bolt,trap
bean,okra,dusk
okra,bean,hazy
dusk,hazy,bean
hazy,dusk,okra
cram,ditz,flop
ditz,cram,hype
flop,hype,cram
hype,flop,ditz
coed,dean,saga
dean,coed,epic
saga,epic,coed
epic,saga,dean
iced,rink,goat
rink,iced,calf
goat,calf,iced
calf,goat,rink
ball,mitt,worm
mitt,ball,grub
worm,grub,ball
grub,worm,mitt
bike,sled,mask
sled,bike,veil
mask,veil,bike
veil,mask,sled
sand,mesa,hoof
mesa,sand,claw
hoof,claw,sand
claw,hoof,mesa
vase,arch,tent
arch,vase,hood
tent,hood,vase
hood,tent,arch
soap,wipe,cart
wipe,soap,reel
cart,reel,soap
reel,cart,wipe
milk,whey,nest
whey,milk,coop
nest,coop,milk
coop,nest,whey
tape,wrap,foot
wrap,tape,shin
foot,shin,tape
shin,foot,wrap
belt,sash,crab
sash,belt,mite
crab,mite,belt
mite,crab,sash
fork,rake,mist
rake,fork,dewy
mist,dewy,fork
dewy,mist,rake
girl,lady,whip
lady,girl,prod
whip,prod,girl
prod,whip,lady
yard,home,film
home,yard,skit
film,skit,yard
skit,film,home
ring,gold,scab
gold,ring,cast
scab,cast,ring
cast,scab,gold
tank,army,pool
army,tank,mere
pool,mere,tank
mere,pool,army
veal,loin,duct
loin,veal,wire
duct,wire,veal
wire,duct,loin
tomb,bury,meal
bury,tomb,hash
meal,hash,tomb
hash,meal,bury
fire,boil,prop
boil,fire,scat
prop,scat,fire
scat,prop,boil
band,opus,cove
opus,band,gulf
cove,gulf,band
gulf,cove,opus
note,memo,suds
memo,note,wash
suds,wash,note
wash,suds,memo
mink,pelt,chop
pelt,mink,trim
chop,trim,mink
trim,chop,pelt
site,area,gang
area,site,clan
gang,clan,site
clan,gang,area
male,womb,blur
womb,male,seen
blur,seen,male
seen,blur,womb
papa,sons,brie
sons,papa,curd
brie,curd,papa
curd,brie,sons
sing,yell,arts
yell,sing,muse
arts,muse,sing
muse,arts,yell
root,pulp,jack
pulp,root,gear
jack,gear,root
gear,jack,pulp
shop,work,beat
work,shop,pace
beat,pace,shop
pace,beat,work
acid,sour,talk
sour,acid,oral
talk,oral,acid
oral,talk,sour
fare,toll,quip
toll,fare,jest
quip,jest,fare
jest,quip,toll
bump,sore,tidy
sore,bump,neat
tidy,neat,bump
neat,tidy,sore
ogre,yeti,slow
yeti,ogre,lull
slow,lull,ogre
lull,slow,yeti
meow,howl,guru
howl,meow,wise
guru,wise,meow
wise,guru,howl
five,zero,bulk
zero,five,used
bulk,used,five
used,bulk,zero
loud,hear,obey
hear,loud,rule
obey,rule,loud
rule,obey,hear
mile,afar,kept
afar,mile,took
kept,took,mile
took,kept,afar
doze,rest,odds
rest,doze,vary
odds,vary,doze
vary,odds,rest
year,noel,fact
noel,year,true
fact,true,year
true,fact,noel
hour,time,less
time,hour,much
less,much,hour
much,less,time
bonk,wham,same
wham,bonk,akin
same,akin,bonk
akin,same,wham
dolt,redo,glad
redo,dolt,hate
glad,hate,dolt
hate,glad,redo
lost,find,zeal
find,lost,glee
zeal,glee,lost
glee,zeal,find
cozy,snug,have
snug,cozy,been
have,been,cozy
been,have,snug
help,care,mind
care,help,soul
mind,soul,help
soul,mind,care
foul,yuck,urge
yuck,foul,whim
urge,whim,foul
whim,urge,yuck
ploy,ruse,avid
ruse,ploy,keen
avid,keen,ploy
keen,avid,ruse
