,Word,ConcRating,Mean Sharedness,Absolute Sharedness,Most Rel Words,Sem Feats
32464,tire,5,5.166666666666667,"[8, 3, 9, 5, 7, 3, 8, 2, 3, 6, 6, 2]","['gear', 'axle', 'puck', 'ball', 'onyx']","['circular_shape_circle_resembles_elongated', 'tubular_tubeless_tuber_tubers_tubing', 'rubber_made_leather_plastic_synthetic', 'inflated_inflate_inflatable_air_tires', 'black_color_neither_white_brownish', 'traction_tread_loss_pattern_tip', 'vehicles_used_bicycles_road_off', 'vehicle_supports_weight_vehicles_repair', 'shock_absorbs_absorption_walking_shocks', 'wheels_wheel_rim_tiller_bearings', 'sides_two_sided_side_six', 'irreversible_retreaded_removal_irretrievable_undone']"
4105,cage,5,5.222222222222222,"[3, 9, 10, 5, 3, 10, 1, 3, 3]","['shed', 'lamp', 'knob', 'sack', 'semi']","['escape_escaping_flee_fled_threat', 'door_doors_open_opening_four', 'transportation_used_transporting_goods_transport', 'locked_locking_lockable_security_unlocked', 'animals_used_animal_pets_zoos', 'decorative_plain_utilitarian_ornate_decoration', 'bars_bullion_slats_bar_mesh', 'portable_mounted_carried_fixed_collapsible', 'restricts_movement_restrict_prevents_restrains']"
12908,frog,5,5.357142857142857,"[3, 4, 7, 3, 5, 15, 4, 7, 7, 6, 3, 3, 5, 3]","['newt', 'toad', 'gull', 'duck', 'fish']","['amphibian_amphibians_larval_frogs_stages', 'breathes_skin_lungs_underwater_breathe', 'moist_skin_moisturizing_smooth_dried', 'jump_distances_long_leap_great', 'webbed_feet_lobed_forelimbs_partially', 'lays_eggs_laying_water_lay', 'metamorphosis_undergoes_tadpole_larvae_undergo', 'insects_eats_seeds_worms_feeds', 'lives_water_near_bodies_land', 'prey_predators_preyed_toads_tongue', 'eyesight_eyes_eye_poor_retina', 'hibernates_hibernate_winter_cold_hibernation', 'mouth_mouthpiece_blowing_wide_mouthfeel', 'makes_sound_bleating_croaking_bleats']"
20704,mule,5,5.428571428571429,"[4, 7, 7, 3, 4, 9, 4]","['oxen', 'pony', 'deer', 'silk', 'foal']","['strong_weak_weaker_siblings_weight', 'ears_long_tufted_hearing_two', 'horse_horses_horseback_played_riding', 'cute_cuteness_temperamental_donkey_perceived', 'domesticated_animals_animal_hybrid_domestic', 'hooves_cloven_grows_typically_zygote', 'sterile_fresh_reproduce_cannot_packaged']"
29152,sled,5,5.714285714285714,"[3, 6, 18, 3, 5, 3, 2]","['auto', 'boat', 'bike', 'sill', 'yoyo']","['carries_goods_people_bundle_possessions', 'vehicle_automobile_road_part_car', 'wood_metal_made_plastic_materials', 'cold_snow_used_winter_weather', 'steering_steered_rudder_wheel_controlling', 'seat_seats_flat_platform_saddle', 'pulled_animals_gravity_driven_machinery']"
32938,tree,5,5.733333333333333,"[5, 13, 12, 3, 5, 7, 5, 5, 14, 3, 3, 4, 4, 2, 1]","['pine', 'bush', 'fern', 'vine', 'moss']","['fruit_fruits_berries_bear_apple', 'plant_animal_zygote_fathering_fatales', 'leaves_edible_trees_needle_buds', 'photosynthetic_photosynthesizes_photosynthesis_photosynthesize_organ', 'oxygen_respiration_extracts_produces_water', 'habitat_wildlife_animals_provides_fish', 'trunk_storage_woody_luggage_car', 'roots_root_leaves_true_stems', 'size_varies_large_small_color', 'branches_algebra_geometry_calculus_branch', 'years_live_many_15_generations', 'bark_dog_barking_barks_dogs', 'age_decade_rings_aging_old', 'soil_grows_fertile_drained_thrives', 'dioxide_carbon_absorbs_releases_filters']"
18001,kite,5,6.166666666666667,"[3, 18, 10, 3, 2, 1]","['pike', 'duck', 'flag', 'wolf', 'lion']","['maneuvers_acrobatic_acrobatics_maneuver_maneuvering', 'tail_short_long_tails_bushy', 'flies_fly_wind_speeds_air', 'strings_string_tuning_pegs_gut', 'frame_frames_consists_series_support', 'wind_fly_requires_aerodynamics_function']"
5619,comb,5,6.25,"[5, 7, 13, 8, 6, 7, 2, 2]","['perm', 'afro', 'pail', 'rake', 'clip']","['hair_hairstyle_hairstyles_mohawks_spiked', 'hair_covered_damage_bristly_baldness', 'tool_categorized_garden_instrument_hand', 'plastic_metal_made_typically_clay', 'teeth_sharp_cogs_fine_wide', 'portable_small_lightweight_compact_durable', 'grooming_hair_used_groom_feathers', 'handheld_mounted_stand_usually_shaft']"
27574,sand,5,6.333333333333333,"[3, 5, 17, 8, 4, 3, 6, 6, 5]","['dune', 'mesa', 'wood', 'clay', 'silt']","['abrasive_abrasion_cause_surface_material', 'found_deserts_regions_arid_climates', 'construction_used_sites_building_demolition', 'color_varies_brown_depending_yellow', 'wet_slightly_thick_soaked_substance', 'glass_cleaner_windows_stained_done', 'sand_dunes_sandy_sanded_burrow', 'rock_sedimentary_rocks_formations_sediment', 'beaches_found_beach_beached_often']"
13620,goat,5,6.4,"[3, 4, 19, 3, 5, 8, 3, 9, 4, 6]","['deer', 'pony', 'lamb', 'mare', 'oxen']","['makes_sound_bleating_croaking_bleats', 'used_meat_vegan_vegetarian_food', 'mammal_mammals_small_mammalian_usually', 'hair_comb_beard_chauffeur_top', 'habitats_lives_various_variety_diverse', 'herbivorous_herbivore_herbivores_diet_insectivorous', 'terrain_rough_traverse_steep_climb', 'hooves_cloven_grows_typically_zygote', 'horns_horn_car_produced_keyboards', 'milk_produces_ducts_produce_component']"
2213,ball,5,6.5,"[10, 9, 9, 5, 14, 3, 1, 1]","['mitt', 'puck', 'tire', 'boat', 'bell']","['sizes_comes_various_different_styles', 'sports_used_hockey_basketball_games', 'rubber_made_leather_plastic_synthetic', 'inflated_inflate_inflatable_air_tires', 'recreation_recreational_used_activities_leisure', 'spherical_shape_circular_ovular_freefall', 'kicked_thrown_bounce_whip_cane', 'smooth_surface_slick_textured_surfaces']"
9408,dogs,5,6.7,"[14, 18, 6, 7, 3, 4, 3, 4, 6, 2]","['puss', 'mutt', 'wolf', 'deer', 'lynx']","['fur_fluffy_hair_brown_looks', 'tail_short_long_tails_bushy', 'legs_four_legged_two_walks', 'exercise_form_exercises_exertion_workout', 'trained_tasks_trainable_improved_training', 'bark_dog_barking_barks_dogs', 'breeds_breed_northern_mixed_dogs', 'domesticated_animals_animal_hybrid_domestic', 'smell_sense_keen_senses_hearing', 'loyalty_members_loyal_group_show']"
11783,fern,5,6.777777777777778,"[13, 12, 4, 5, 3, 2, 14, 7, 1]","['moss', 'tree', 'bush', 'beet', 'vine']","['plant_animal_zygote_fathering_fatales', 'leaves_edible_trees_needle_buds', 'spores_reproduces_via_produces_dark', 'thrives_environments_damp_grows_moist', 'landscaping_used_gardening_land_decoration', 'flowering_flowers_non_produce_nonspecific', 'size_varies_large_small_color', 'green_leaves_fronds_feathery_tops', 'vascular_system_circulation_capillary_enterohepatic']"
12025,fish,5,6.857142857142857,"[4, 15, 7, 21, 10, 11, 4, 5, 6, 2, 4, 2, 3, 2]","['duck', 'bass', 'tuna', 'carp', 'frog']","['breathes_skin_lungs_underwater_breathe', 'lays_eggs_laying_water_lay', 'lives_water_near_bodies_land', 'edible_species_humans_inedible_though', 'fishing_used_sport_fish_fishermen', 'freshwater_lives_saltwater_lakes_ponds', 'scales_covered_wings_scale_butterflies', 'fins_flippers_dorsal_flights_fin', 'aquatic_watercraft_animal_supports_life', 'gills_breathing_underwater_zygote_fathering', 'swims_swim_well_fast_swam', 'blooded_cold_warm_zygote_fatigue', 'streamlined_body_aerodynamic_aerodynamics_designed', 'aquatic_aquariums_kept_home_life']"
27170,robe,5,7.1,"[3, 7, 13, 5, 4, 7, 7, 5, 11, 9]","['vest', 'pant', 'coat', 'jean', 'suit']","['covers_body_legs_upper_lower', 'pockets_pocket_inside_catching_may', 'fabric_made_tulle_cloth_denim', 'belt_loops_belts_rank_ranks', 'garment_textile_garments_part_set', 'sleeves_sleeveless_sleeve_sleeved_long', 'opening_top_open_front_openings', 'clothing_wears_worn_clothes_layered', 'ceremonies_rituals_used_religious_celebrations', 'worn_protection_torso_shoulders_ages']"
35500,vase,5,8.222222222222221,"[10, 11, 8, 10, 6, 10, 8, 7, 4]","['dish', 'bowl', 'bath', 'arch', 'sink']","['sizes_comes_various_different_styles', 'ceremonies_rituals_used_religious_celebrations', 'flowers_flower_roses_produce_bloom', 'glass_made_plastic_metal_sheet', 'opening_narrow_small_spans_wide', 'decorative_plain_utilitarian_ornate_decoration', 'container_containers_secure_shipping_comes', 'ceramic_porcelain_made_ceramics_stainless', 'water_holds_hold_watertight_dispense']"
2880,bird,5,9.545454545454545,"[15, 7, 7, 10, 10, 11, 15, 6, 8, 14, 2]","['gull', 'fowl', 'lark', 'duck', 'hawk']","['lays_eggs_laying_water_lay', 'insects_eats_seeds_worms_feeds', 'beak_hooked_strong_curved_beaking', 'flies_fly_wind_speeds_air', 'nests_builds_nest_dome_build', 'feathers_feathery_black_white_vary', 'animal_dog_pet_creature_game', 'legs_four_legged_two_walks', 'wings_two_pairs_broad_father', 'size_varies_large_small_color', 'blooded_cold_warm_zygote_fatigue']"
14250,hair,4.97,2.8333333333333335,"[4, 3, 2, 1, 4, 3]","['lash', 'lice', 'kale', 'skin', 'yoga']","['scalp_uv_hair_radiation_lice', 'curly_wavy_straight_hair_straightening', 'grows_skin_growth_mouth_jawbone', 'grey_hair_age_gray_aging', 'styles_styled_different_style_various', 'sheds_regrows_cells_regularly_dead']"
25526,rain,4.97,3.375,"[4, 4, 3, 3, 4, 3, 1, 5]","['hail', 'snow', 'arid', 'yard', 'thaw']","['storms_thunderstorms_associated_stormy_flares', 'precipitation_rain_rainfall_form_snow', 'wetness_cause_wet_puddle_spots', 'acidic_acid_rain_ph_slightly', 'measured_inches_centimeters_meters_feet', 'droplets_water_tiny_gauges_composed', 'cycle_cycles_water_cyclic_part', 'flooding_prevents_cause_avalanches_sea']"
18164,lamp,4.97,3.8181818181818183,"[3, 2, 4, 5, 5, 3, 3, 10, 3, 2, 2]","['bulb', 'cage', 'sill', 'eave', 'neon']","['shade_provides_shades_shaded_offers', 'bulb_wattle_wattles_lamp_packaging', 'light_produces_converts_diffuses_bright', 'lighting_illumination_lamps_used_fluorescent', 'base_custard_broth_circular_stock', 'brightness_lacks_adjustable_lacking_levels', 'electrical_device_electricity_power_devices', 'decorative_plain_utilitarian_ornate_decoration', 'portable_mounted_carried_fixed_collapsible', 'reading_used_readings_readers_comments', 'outdoors_indoors_used_indoor_outdoor']"
29565,soda,4.97,4.3076923076923075,"[2, 4, 8, 5, 6, 3, 5, 4, 5, 3, 2, 4, 5]","['coke', 'cola', 'beer', 'cake', 'mead']","['refreshing_taste_feels_effect_gives', 'vending_machines_sold_used_stored', 'beverage_alcoholic_drink_mulled_japanese', 'carbonated_still_sometimes_often_fatal', 'sugar_sugars_sweeteners_contains_diet', 'caffeine_contains_varieties_available_caffeinated', 'served_cold_hot_chilled_warm', 'cans_bottles_comes_bottle_served', 'flavors_flavored_vanilla_flavor_comes', 'mixer_cocktails_alcoholic_drinks_used', 'phosphoric_acid_contains_colas_often', 'packaged_plastic_paper_wrapped_glass', 'bubbles_produces_liquid_creates_rising']"
22383,oven,4.97,4.461538461538462,"[14, 5, 9, 4, 4, 5, 4, 1, 2, 3, 4, 2, 1]","['fire', 'lard', 'spat', 'auto', 'brew']","['cooking_used_frying_food_chefs', 'baking_used_powder_bread_pastries', 'door_doors_open_opening_four', 'insulated_heat_loss_prevent_retain', 'temperature_control_maintains_constant_controlled', 'cleaning_requires_cleaned_dry_regular', 'timed_time_timer_limit_downtime', 'appliance_appliances_mashed_rate_tool', 'heat_produces_generates_heaters_process', 'shelves_racks_shelf_inside_hooks', 'kitchens_found_bathrooms_restaurants_dining', 'heat_cooling_heated_radiation_convection', 'emits_heat_radiates_light_vent']"
28650,shoe,4.97,4.666666666666667,"[3, 9, 9, 8, 6, 4, 4, 2, 5, 4, 1, 1]","['boot', 'clog', 'sock', 'heel', 'pair']","['synthetic_materials_made_sisal_hemp', 'rubber_made_leather_plastic_synthetic', 'footwear_shoe_shoes_type_worn', 'foot_covers_feet_ankle_bottom', 'heel_heels_ankle_shoe_height', 'sole_toe_box_insoles_rubber', 'feet_protects_protection_keeps_warm', 'laces_lace_zippers_buckles_laced', 'informal_formal_casual_colloquial_aimless', 'pairs_pair_comes_two_pairings', 'arch_support_provides_foot_supports', 'activities_designed_specific_apply_wide']"
1558,arms,4.97,5.111111111111111,"[3, 4, 6, 12, 7, 6, 2, 3, 3]","['limb', 'hand', 'body', 'bone', 'foot']","['limbs_lacks_movable_limb_arm', 'joints_joint_knuckles_connected_pivoting', 'muscles_contains_made_muscle_skin', 'skin_covered_covering_exposes_exposed', 'contains_bones_marrow_knuckles_organs', 'shoulders_shoulder_attached_torso_attaches', 'veins_arteries_veined_skin_nuggets', 'lifting_objects_lift_heavy_weights', 'adorned_jewelry_necklaces_tattoos_tattooed']"
31108,suit,4.97,5.636363636363637,"[6, 7, 13, 6, 4, 5, 4, 5, 4, 5, 3]","['pant', 'jean', 'robe', 'vest', 'gown']","['buttons_zipper_buttoned_zippers_button', 'pockets_pocket_inside_catching_may', 'fabric_made_tulle_cloth_denim', 'worn_women_men_genders_clothing', 'garment_textile_garments_part_set', 'skirts_skirt_dresses_wear_trousers', 'swimsuit_vest_swimwear_wetsuit_come', 'cleaning_requires_cleaned_dry_regular', 'wool_synthetic_cotton_fibers_made', 'colors_comes_various_different_patterns', 'worn_occasions_formal_attire_ceremonial']"
18147,lamb,4.97,8.25,"[3, 19, 18, 4, 7, 15, 7, 5, 4, 4, 8, 5]","['deer', 'pony', 'mare', 'hare', 'goat']","['makes_sound_bleating_croaking_bleats', 'mammal_mammals_small_mammalian_usually', 'tail_short_long_tails_bushy', 'born_birth_spring_ewe_begins', 'meat_cut_beef_pork_meats', 'animal_dog_pet_creature_game', 'domesticated_wild_domestication_worker_humans', 'spring_mechanism_springy_springtime_springs', 'horse_young_adult_stallion_sheep', 'wool_made_linen_shorn_blend', 'herbivorous_herbivore_herbivores_diet_insectivorous', 'grazes_grass_plants_graze_grazer']"
18716,lint,4.96,2.7142857142857144,"[6, 3, 2, 4, 1, 1, 2]","['silk', 'hemp', 'tutu', 'foam', 'shag']","['lightweight_easy_handling_transport_designed', 'found_shirts_clothing_jackets_pants', 'fires_fire_used_tinder_firefighters', 'fibers_made_produces_textile_fiber', 'pockets_accumulates_corners_purses_wallets', 'dryer_lint_dryers_traps_collects', 'flammable_fire_hazard_fires_cause']"
6621,corn,4.96,3.25,"[4, 3, 5, 4, 3, 3, 3, 1]","['oats', 'okra', 'beet', 'bale', 'whey']","['grilled_fried_boiled_roasted_baked', 'wrapping_wrap_popped_popcorn_food', 'feed_livestock_animal_used_feeding', 'cereal_grain_grains_crop_outer', 'yellow_red_color_stripes_kernels', 'husk_tusks_husks_encased_green', 'fructose_syrup_corn_sugar_high', 'ethanol_biofuels_biofuel_vodka_production']"
19592,mayo,4.96,3.7857142857142856,"[5, 3, 4, 7, 6, 2, 5, 2, 3, 4, 4, 3, 2, 3]","['slaw', 'kale', 'curd', 'deli', 'malt']","['salads_salad_dressings_used_smoothies', 'calories_low_high_calorie_deficit', 'spices_herbs_flavored_spice_fruits', 'sandwiches_used_topping_making_make', 'spread_spreadable_rapidly_quickly_spreads', 'condiment_condiments_variety_provides_features', 'creamy_texture_waxy_inside_father', 'pale_white_yellow_color_freshly', 'vinegar_juice_lemon_malt_vinegars', 'tangy_flavor_taste_sweet_piquant', 'consistency_thick_thin_smooth_wobbly', 'refrigeration_refrigerated_perishable_stored_needs', 'cuisine_common_cuisines_western_popular', 'used_make_making_sauces_malted']"
31655,tail,4.96,3.857142857142857,"[5, 4, 7, 2, 3, 3, 3]","['hoof', 'lash', 'newt', 'woof', 'hump']","['animal_part_anatomy_located_rear', 'traps_trap_insects_pathogens_swat', 'fur_covered_hunted_coat_farmed', 'communication_communicate_among_animals_used', 'balance_helps_coordination_improves_promotes', 'regenerate_parts_lizards_lost_regeneration', 'short_long_length_typically_pencil']"
4102,cafe,4.96,3.9,"[3, 6, 4, 4, 4, 4, 6, 5, 1, 2]","['deli', 'mall', 'dine', 'taxi', 'firm']","['chain_part_food_independently_owned', 'seating_arrangements_area_outdoor_seat', 'urban_areas_found_suburban_located', 'venue_venues_held_decorated_takes', 'restaurants_food_served_serves_courts', 'menu_shortcut_ctrl_keyboard_settings', 'employees_employs_employed_employer_employment', 'food_offers_sells_meals_attractively', 'fi_wi_free_shoppers_provide', 'counter_ordering_often_countertop_customers']"
4528,cave,4.96,4.142857142857143,"[3, 4, 5, 6, 5, 3, 3]","['tint', 'yard', 'inky', 'kiln', 'mine']","['echoes_echo_spaces_enclosed_forest', 'temperature_control_maintains_constant_controlled', 'shelter_shelters_provides_makeshift_animals', 'rock_sedimentary_rocks_formations_sediment', 'underground_pit_open_space_economy', 'dark_color_darker_black_light', 'lakes_ponds_water_rivers_lake']"
13217,gate,4.96,4.5,"[8, 4, 4, 5, 3, 3]","['door', 'wall', 'poor', 'jail', 'reel']","['access_accessible_accessibility_allows_wheelchairs', 'closes_opens_closing_open_opening', 'fence_fences_fenced_unfenced_walls', 'may_mechanism_might_attached_locking', 'hinges_bolts_frames_extra_equipped', 'used_protection_defense_safety_security']"
18717,lion,4.96,5.0625,"[3, 19, 18, 4, 3, 3, 5, 3, 4, 5, 2, 4, 3, 1, 3, 1]","['puma', 'lynx', 'wolf', 'puss', 'pony']","['carnivore_carnivores_omnivore_herbivore_smaller', 'mammal_mammals_small_mammalian_usually', 'tail_short_long_tails_bushy', 'retractable_claws_sharp_zygote_fatale', 'endangered_wild_species_habitat_predation', 'predator_apex_stealthy_weaker_smaller', 'hunting_hunts_treasure_animals_small', 'pride_prides_lives_excessive_source', 'brown_color_golden_coat_brownish', 'mane_tail_stalk_males_male', 'roars_howls_roar_howl_frightening', 'strength_symbol_symbolizes_virility_bravery', 'territorial_territory_territories_roams_homeland', 'dimorphism_sexual_displays_dimorphic_exhibits', 'native_americas_america_asia_africa', 'jungle_king_known_considered_zygote']"
18659,lime,4.96,5.181818181818182,"[3, 14, 8, 6, 3, 4, 3, 3, 4, 6, 3]","['pear', 'kiwi', 'plum', 'zest', 'mull']","['garnish_garnishes_used_garnishing_dishes', 'cooking_used_frying_food_chefs', 'grows_trees_forests_palm_branches', 'fruit_fruits_maturity_vegetables_color', 'green_skin_yellow_blackheads_red', 'citrus_fruits_lemons_limes_oranges', 'vitamin_rich_vitamins_source_potassium', 'sour_taste_bitter_sourness_smell', 'beverages_used_drinks_cocktails_consume', 'shape_round_oval_rounded_shaped', 'zested_zesty_zest_flavor_zealous']"
36021,wasp,4.96,5.625,"[7, 10, 3, 8, 7, 4, 3, 3]","['bees', 'moth', 'gnat', 'bird', 'dove']","['insect_insects_creepy_presence_crawlies', 'nests_builds_nest_dome_build', 'fly_cannot_flown_jump_flying', 'wings_two_pairs_broad_father', 'yellow_color_green_orange_yellowish', 'waist_around_worn_thorax_narrow', 'sting_bite_stinging_stings_bites', 'pollinates_flowers_pollination_pollinate_role']"
32006,tent,4.96,5.875,"[13, 7, 4, 5, 7, 1, 5, 5]","['hood', 'tarp', 'case', 'door', 'cave']","['fabric_made_tulle_cloth_denim', 'weather_protects_rain_protection_wind', 'waterproof_resistant_water_waterproofed_weatherproofing', 'shelter_shelters_provides_makeshift_animals', 'portable_small_lightweight_compact_durable', 'collapsible_storage_easy_collapse_transport', 'camping_used_gatherings_occasions_outdoor', 'entrance_exit_entrances_exits_entry']"
3379,boot,4.96,5.9,"[9, 9, 9, 8, 6, 4, 4, 4, 4, 2]","['shoe', 'sock', 'clog', 'heel', 'pair']","['worn_protection_torso_shoulders_ages', 'rubber_made_leather_plastic_synthetic', 'footwear_shoe_shoes_type_worn', 'foot_covers_feet_ankle_bottom', 'heel_heels_ankle_shoe_height', 'sole_toe_box_insoles_rubber', 'feet_protects_protection_keeps_warm', 'waterproof_resistant_water_waterproofed_weatherproofing', 'insulated_heat_loss_prevent_retain', 'laces_lace_zippers_buckles_laced']"
5612,colt,4.96,6,"[18, 3, 4, 5, 9, 3, 4, 2]","['foal', 'mare', 'pony', 'lion', 'deer']","['tail_short_long_tails_bushy', 'birth_shortly_walk_learns_stand', 'horse_young_adult_stallion_sheep', 'mane_tail_stalk_males_male', 'hooves_cloven_grows_typically_zygote', 'age_years_19_13_ages', 'playful_playfulness_activity_expresses_nature', 'riding_training_ridden_skills_trained']"
19477,mask,4.96,6.125,"[9, 11, 9, 3, 9, 3, 2, 3]","['robe', 'veil', 'vest', 'nose', 'gong']","['fashion_used_lingerie_clothing_uniform', 'ceremonies_rituals_used_religious_celebrations', 'worn_protection_torso_shoulders_ages', 'spread_diseases_disease_spreads_prevents', 'used_medical_treat_medicine_medication', 'face_covers_adversity_faces_hides', 'straps_secured_ties_locks_ropes', 'filters_air_smoke_filter_particles']"
2629,bell,4.96,6.4,"[10, 11, 6, 4, 1]","['gong', 'nail', 'jean', 'wire', 'ball']","['sizes_comes_various_different_styles', 'metal_made_father_fatale_fatales', 'sound_produces_blown_sounds_captures', 'clocks_clock_watches_timers_alarms', 'clapper_inside_mallet_slider_fathering']"
31411,swan,4.96,6.8,"[5, 15, 14, 11, 15, 11, 2, 5, 4, 3, 4, 2, 4, 4, 3]","['gull', 'duck', 'coot', 'fowl', 'dove']","['webbed_feet_lobed_forelimbs_partially', 'lays_eggs_laying_water_lay', 'bird_part_small_fatale_fatales', 'feathers_feathery_black_white_vary', 'animal_dog_pet_creature_game', 'freshwater_lives_saltwater_lakes_ponds', 'gracefulness_graceful_elegance_majesty_clumsy', 'aggressive_threatened_non_intimidating_aggressiveness', 'love_symbolizes_romance_symbol_affection', 'neck_thick_chin_curved_narrow', 'swims_swim_well_fast_swam', 'mating_courtship_mates_displays_behavior', 'call_distinctive_calls_makes_loud', 'eats_fish_plants_aquatic_feeds', 'beauty_associated_standards_natural_elegance']"
9738,drum,4.96,7.222222222222222,"[11, 9, 5, 6, 18, 3, 8, 3, 2]","['gong', 'rung', 'beat', 'boat', 'dice']","['ceremonies_rituals_used_religious_celebrations', 'music_used_genres_jazz_songs', 'instrument_musical_stringed_instruments_guitars', 'rhythm_syncopated_beat_rhythms_rhythmic', 'wood_metal_made_plastic_materials', 'membrane_cell_enclosed_surrounded_patagium', 'cylindrical_shape_body_spherical_elongated', 'played_tennis_play_table_sticks', 'percussion_drum_drums_snares_instrument']"
2468,beak,4.96,8,"[12, 14, 1, 5]","['cock', 'fowl', 'coop', 'gull', 'nest']","['birds_bird_crows_crow_chickens', 'bird_part_small_fatale_fatales', 'keratin_composition_consists_composed_zygote', 'eating_used_food_chewing_biting']"
18313,lawn,4.93,3.4,"[5, 4, 2, 5, 1]","['turf', 'damp', 'nook', 'yard', 'glen']","['grass_covered_grassy_turf_grasses', 'water_requires_watering_food_needs', 'mowing_mowed_needs_swing_natural', 'found_homes_often_basements_houses', 'grass_types_different_fescue_bluegrass']"
32082,text,4.93,3.5,"[7, 4, 3, 3, 4, 2, 3, 3, 3, 3]","['info', 'memo', 'word', 'note', 'bold']","['writing_used_books_calligraphy_text', 'encrypted_encryption_privacy_security_cryptid', 'interpretation_subject_context_interpreting_personal', 'languages_translated_spelled_different_variations', 'styles_styled_different_style_various', 'read_only_rewritable_overwritten_deciphered', 'information_conveys_convey_prediction_conveying', 'printed_handwritten_written_printer_digital', 'punctuation_apostrophe_require_mark_include', 'stored_digitally_electronically_record_archived']"
