Word,Meanings,labels,newMeaning,features,keep_semfeat
pant,Used for fashion or function,3277,"Used for fashion or function Used in casual and formal attire Used for fashion or uniform Used for fashion accessories Used in fashion Used in fashion Often used in fashion Used in formal wear Used for sizes in clothing, particularly for shoes (wide fit) Used for a woman Used for casual wear Used in shoe sizes May be used in fashion industry Used for disguise Used for disguise Used in costumes Used in lingerie Often used in lingerie Used in lingerie Used in lingerie Used in fashion Used in costumes Used in uniform accessories Used in traditional costumes Used for fashion or uniform Used for fashion Used as a uniform piece in some professions Is used in the fashion industry Used in fashion as clothing Used for concealing gifts Often used in fashion as clothing Used in dressage Is used in design and fashion Used in design and fashion Used in design and fashion Used in fashion as an ornament Often used for girls' clothing and toys Can be used in fashion, as in trim on clothing Used for fashion Used in lingerie Used in lingerie Often used in undergarments Used in lingerie Used for fashion Used for fashion and practical purposes May be used in fashion, as in ""slay the runway"" Used in hats and clothing Used in hats and clothing Used in hats and clothing",fashion_used_lingerie_clothing_uniform,True
pant,Worn by men and women,171,Worn by men and women Worn by all genders Can be worn by all genders Worn by both men and women Worn by both men and women Can be worn by people of all genders Worn by men Worn by men Traditionally men's clothing Worn by men Worn by all genders Can be worn by both genders Can be worn by all genders Worn by both men and women Designed for men and women Men and women wear suits Common in both men’s and women’s fashion Worn by people of all genders Worn by men Worn by women in specific variations Traditionally worn by women Often worn by women Traditionally worn by women Worn by both men and women Designed for both men and women Wears men's clothing in many cultures Wears traditionally masculine clothing Often wears male-coded clothing due to social norms Traditionally worn by women Worn by women Wears clothing designed for females Worn by women Can be a woman's undergarment Historically worn by men Can be worn by men and women Worn by all genders,worn_women_men_genders_clothing,True
robe,Is a garment,1579,"Is a garment Is a garment Is a garment Is a garment Is a garment Is a garment Is a textile Is a textile Part of a garment Is a garment Is a garment Is a garment Is a garment Part of a garment Part of a garment or piece of clothing Can be part of a garment, like a tie or shoelaces Is a set of garments Is a set of garments Is a set of garments Is a garment Is a garment Is a garment part Is a garment Is a garment Is a garment Is a single piece of cloth Is a garment Is a garment Is a garment Is a garment Is a garment Is a garment Is a garment Is a garment Is a garment Is a garment Is a garment Is a textile",garment_textile_garments_part_set,True
robe,Covers the body,1895,Covers the legs Covers the legs Covers the lower body Covers the lower body Covers the body Covers the body Covers the body Covers the body Covers the torso and arms Covers the body Covers the body Is the outer covering of the body Covers the body Drapes over the body Covers from chest to legs Typically less exposed than the front of the body Covers the body Covers the upper body Usually covers the upper body Covers the body,covers_body_legs_upper_lower,True
robe,Has sleeves,986,"Has sleeves Has sleeves Has sleeves Has long sleeves Holds sleeves in place Part of a shirt sleeve Holds sleeves in place Helps to control sleeve length Keeps sleeves in place Often has sleeves Has sleeves Has sleeves Has sleeves Does not have sleeves Has no sleeves Has no sleeves Has no sleeves Has sleeves Can be sleeveless, short-sleeved, or long-sleeved Can have long sleeves or be sleeveless Has varying sleeve lengths Can be sleeveless Sleeveless Sleeveless Sleeveless Sleeveless Is typically sleeveless Can have short sleeves Can have long sleeves Can have sleeves or be sleeveless",sleeves_sleeveless_sleeve_sleeved_long,True
robe,Open in the front,609,Has two leg openings Has two leg openings Open in the front Opens in the front Open in the front Has an opening in the center Has a bell-shaped opening at the bottom Can have an oculus or central opening Can have an oculus or central opening Has an opening at the top Has an opening at the top Has an open top Has an opening at the top Has an opening for the face Has an opening for the face Is open-topped Is a body opening Is an opening in the skin Is a tiny opening in the skin Is a small opening in the skin Has two openings Has an opening at the top Opens on the front Has an opening to the surface Has an opening to the outside Has an opening at each end Has an opening for the face Has an opening for the face Has an opening for the face Has an open top Open top Is open at the top Can be open-topped or have a hardtop No front closure Has a trough Has a trough Has a trough Has a front opening Opens in the front Opens in the front Has openings or gaps Has openings or gaps Usually has an open top Requires an opening Has openings on two ends Features a wide open top Often has a raised wall around the opening,opening_top_open_front_openings,True
robe,Tied with a sash or belt,3048,Can have belt loops May have belt loops Can have belt loops May have belt loops Tied with a sash or belt Usually comes with a belt Typically has a belt or tie May have belts indicating ranks Follows a hierarchy of belts to signify ranks May have belts indicating rank Belt system indicates rank Has belt ranking system Uses colored belts to indicate rank Uses colored belts to indicate rank Has belt loops Often has belt loops Often worn with a belt Has belt loops May have belt loops Common in seatbelt reminder systems Can include accessories like a tie or belt Some have belts or cuffs Studded belts and jewelry,belt_loops_belts_rank_ranks,True
robe,Worn over clothing,2871,Worn over clothing Is worn over other clothes Worn over other clothes Worn over other clothes Undressed or unclothed Wears comfortable clothing Can be exposed or covered by clothing Wears worn or dirty clothing Wears weathered or tattered clothing Wears tattered or old clothing Sometimes wears flashy clothing May wear secondhand or worn-out clothes Covered by clothing in public Worn over other clothes Can be layered over other clothes Can be layered over other clothing Can be worn over a shirt Layered over shirts Layered over shirts Often layer over shirts Wears an apron Offers modesty under sheer or thin clothing Wearing something down Often layered with other clothing Typically wears wrinkled or stained clothes Wears disheveled clothing Wears dirty or unkempt clothing Might wear dirty or wrinkled clothing Wears bright or mismatched clothing,clothing_wears_worn_clothes_layered,True
robe,Made of fabric,128,"Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of tulle or netting Is made of tulle or netting Made of tulle or netting Made of tulle or netting Made of fabric Historically made of cloth or linen Made of fabric Made of fabric Made from tartan fabric Made of tartan fabric Made of denim Made of denim Made of denim Made of denim Made of various fabrics Made from fabric Made of fabric Made from similar fabric Typically made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Is made of fabric Made of fabric Typically made of fabric Often made of fabric Made of flexible, waterproof material Made of fabric Made of fabric Made of fabric Made of polyester or nylon Made of fabric Made of a single piece of cloth Made of a single piece of cloth Is made of fabric Is usually made of a thin fabric Is made of fabric Made of fabric Commonly made of fabric Made from various fabrics Made of cloth or paper Often made of cloth Made of fabric Made of fabric Made of fabric",fabric_made_tulle_cloth_denim,True
robe,Used in religious ceremonies,1115,"Used in religious ceremonies Used in religious ceremonies Used in ceremonies May be used in rituals May be used in ceremonies and events Used in traditional ceremonies Used in formal rituals Used in liturgical practices Used in formal ceremonies Used in various cultural ceremonies Used in smudging rituals Is used in smudging ceremonies Used in rituals and cleansing ceremonies Historically used in religious ceremonies Used in ceremonies and rituals Used in cultural ceremonies and events Used in cultural ceremonies and rituals Used in cultural ceremonies Used in ceremonial toasts Used in ceremonies and celebrations Is used in ceremonial releases Used in lighting and ceremonies Used in religious ceremonies Used for ceremonial purposes Can be used in religious ceremonies Used in ceremonies May be used in ceremonies or rituals Used in ceremonies Used in religious ceremonies Used in rituals and ceremonies Used in cultural ceremonies Used in rituals and ceremonies Is used in celebrations and ceremonies Is used in religious practices (e.g., rosaries) Used in cultural rituals and festivals Used in religious ceremonies Used in ceremonies Used in ceremonies and events Used in fictional rituals or ceremonies Used in magical rituals Used in academic ceremonies Used in rituals and ceremonies Used in ceremonies Used in ceremonies and rituals Used in ceremonies Can be used in rituals or ceremonies Used in rituals Used in rituals and ceremonies Used for ceremonies Used in ceremonies Used in religious ceremonies Used in rituals or ceremonies Used in religious ceremonies Used in religious ceremonies Historically used in rituals Used in cultural or religious ceremonies or rituals Used in toasts or celebrations Used in religious ceremonies Has been used ceremonially Used in celebrations (e.g., birthdays, holidays) Used in celebrations Used in traditional ceremonies Used in ceremonies and rituals Can be used in religious celebrations or ceremonies Is used in various religious ceremonies Used for commemoration or decoration Used in ceremonies or rituals Used in religious rituals May be used in rituals Is used in rituals and ceremonies Used in toasts and ceremonies Used in Shinto rituals Used in religious ceremonies Used in religious ceremonies and festivals",ceremonies_rituals_used_religious_celebrations,True
robe,Worn by judges,3089,"Worn by people Typically worn with a shirt or top Worn by judges Worn after bathing Worn at home Worn after bathing Worn for lounging Worn for fashion or practicality Typically worn outdoors Historically worn by soldiers Is worn for work, hiking, or fashion Worn in construction and industrial jobs for safety Typically worn over socks Worn with a gi Replaced when worn Often worn with a sporran Worn by people of all ages Worn for protection in industrial settings Worn for anonymity Worn by riders Worn on a boot Worn on the heels Worn on a rider's heel Worn with a tie or bow tie Worn in business settings Worn on the upper body Typically worn outdoors Worn by people of all ages Worn on the upper body Worn for protection Typically worn with socks Worn on Halloween Worn for protection Worn in healthcare Worn for protection Worn during pandemics Worn for protection Worn for comfort Can be worn with a strap in marching bands Worn on the neck and shoulders Worn over the shoulders Worn over the shoulders Worn for fashion purposes Often worn over a tunic Worn over a tunic Worn around the body Worn over the shoulder Worn over the body Often worn with matching accessories Worn on the body Worn by individuals Worn on the torso Worn on the torso Worn on the torso Worn on the torso Worn by individuals Worn for protection against environmental factors Worn by individuals Worn on hands Worn on hands Worn on ears or clothing Often worn for several weeks Worn for several weeks Worn on the head Worn on the head Worn for specific activities like sports Can be worn on the back Worn as clothing Worn by people of all ages Corsages and boutonnieres are worn Corsages and boutonnieres are worn Worn on the face Worn or operated before",worn_protection_torso_shoulders_ages,True
robe,Often has pockets,1336,May have pockets Includes pockets Often has pockets Often has pockets Often has pockets May have pockets Often has pockets Has pockets Traditionally has five pockets Contains pockets Has pockets Has pockets Has pockets on the inside and outside of the jacket Has pockets Has pockets Has pockets May have pockets Has pockets May have pockets Has pockets Can fit into wallets and pockets Has a pocket for catching Has a pocket for catching Often has pockets May have pockets May have pockets Can have pockets Can have pockets inside Has a pocket inside Has a pocket Has a pocket Is a closed pocket or pouch in the body,pockets_pocket_inside_catching_may,True
slew,Is a large number or quantity,1682,"Is a large number or quantity Can refer to a large number or quantity Means a large number or quantity Means a large number or quantity Can be synonymous with terms like ""a lot,"" ""scores,"" ""loads,"" or ""heaps"" Can refer to a small amount of something Refers to a large number or amount Refers to a large amount or number Uncountable when referring to a vast amount Refers to a large quantity Associated with the word ""many"" Refers to a large quantity Can be used as a synonym for ""many"" or ""numerous"" Refers to a large quantity Refers to a large quantity Can refer to a small amount of something Refers to a whole number Refers to a large quantity Can describe an unspecified large number of items or people Denotes a large quantity Denotes a large number Is used to describe large quantities Used in terms like megabyte, megastructure Denotes a factor of one million Denotes a factor of one million Used in terms like megabyte Means one million Used in terms like megabyte Refers to a large amount Is used to denote a large quantity Peer words include 'many' and 'a lot'",large_quantity_number_amount_refers,True
slew,Can be used to describe a multitude of items,2868,Can be used to describe a multitude of items Can describe a random or unorganized collection of items Usage can imply a disorderly or unorganized collection Can be a collection of lint Could be part of a collection Is a mass or collection A collection of items Collection of items A collection of items Is a collection Consists of many items Used for individual items in a series Denotes individual elements from a collection A collection of items Describes items Is a list of items Comprises items Comprises items or entries Often consists of multiple items as a set Consists of disordered items Consists of two items Refers to a collection of items A collection of items Is a collection of items Can denote a set of items or a score Can refer to a mass or collection of items without distinct boundaries,collection_items_consists_unorganized_comprises,True
slew,"Derived from Old English ""slēow,"" meaning slow",1447,"Commonly used in the phrase ""trod upon"" Derived from Old English ""slēow,"" meaning slow Associated with the phrase ""a slew of"" Used in the phrase ""a slew of"" Has origins in the Irish word ""sluagh,"" meaning a crowd or multitude Employed in the phrase ""to bode well for"" Used in context of omens or signs Used in the phrase ""give a hoot"" Sometimes used as a descriptor for a good time (""had a hoot"") To come to terms with something Used to emphasize the gravity of a situation Used in phrases like ""dire straits"" or ""dire consequences"" Used in the phrase ""to take a peep"" meaning to have a quick look Is synonymous with words like ""askew"" or ""off-kilter"" Used in various phrases (able-bodied, able-minded) Use in phrases like ""Go West"" Means ""so be it"" Means ""so be it"" or ""truly"" May be used colloquially for flatulence Associated with the phrase ""An apple a day keeps the doctor away"" ""Blah"" is a colloquial term. Frequently used in phrases like ""tech whiz"" or ""math whiz"" Latin origin, meaning 'let it be done' Is used in the phrase ""truth or dare"" Used in expressions (e.g., ""keep your chin up"") Associated with luaus Used in puzzles (crosswords) Associated with the word ""bring up"" or ""raise"" Used in expressions like ""high tide"" Used in phrases like ""high tide"" Used in common phrases like ""goes without saying"" Is part of the phrase ""gape and gasp"" Used in conjunction with nuts Is used colloquially to express a letdown Used in expressions like ""bearing arms"" or ""taking up arms"" Often used in idioms or expressions (e.g., ""hoof it"" means to walk) Used in expressions like ""digging in one's heels"" Has the phrase ""E Pluribus Unum"" Contains the phrase ""E pluribus unum"" Features the phrase ""E pluribus unum"" Can be used as a verb (to honk) Can be used in the phrase ""chow down"" Used in expressions like ""dropped jaws"" to indicate surprise Used in various popular sayings. Used in expressions like ""kick the bucket"" Has symbolic meaning in phrases like ""getting a kick out of something"" Used to convey reassurance or encouragement Can refer to prodding or jabbing Originates from the term ""hashed"" Found in common phrases like ""cloud nine"" or "" Appears in idiom ""rise and shine"" indicating waking up enthusiastically Used in the phrase ""full tilt,"" meaning full speed Used in the expression ""dude ranch"" Linked to the term 'quintuple' Used in the phrase ""high five"" Associated with the saying ""beyond the pale"" indicating something outside the boundaries of acceptable behavior Used in expressions (e.g., ""Big Bang"") Used to describe enthusiasts or fans Used in idioms (e.g., ""extra mile"") Can be synonymous with a glitch or hiccup Used in various contexts: could be laying bricks, laying down laws, etc. Generally means to put something down gently or carefully Derived from ""lay"" Often used in phrases like ""full house"" or ""full tank"" Used in the phrase “rang out” Linked to the saying ""to wade in,"" meaning to become involved in Used in the term ""rosy-fingered"" in reference to dawn in classic literature Associated with the catchphrase ""Hulk smash!"" Associated with catchphrase ""Hulk smash!"" Often accompanies the phrase ""shut down"" Used in common expressions (e.g., ""four-leaf clover"") Occurs in phrases like ""half-time"" or ""half-baked"" Used in phrases like ""here and now"" Can be used in modern slang to mean succeed brilliantly Used in fantasy contexts, like slaying dragons Is used in expressions (take it easy, take for granted) Can be used as a verb (to bonk something) Has types like ""knock-knock"" or ""why did the chicken cross the road?"" Used in idiomatic expressions like ""kept at bay"" Used to describe something saved Used in phrasal verbs (e.g., ""come in,"" ""come over"") Used in idioms (e.g., ""come clean,"" ""come to terms"") Derived from the ""Série Noire"" line Used in the phrase ""in flux"" Is synonymous with blunder or goof Used in the phrase ""by Used in phrases like ""catch on to"" meaning to understand Means to ignore or rebuff deliberately Can denote unclean Is used in phrases like ""keep on"" Used to express more than expected or usual Used to describe something out of sight Originates from the phrase ""dibs on that"" Used in phrases like ""foxy lady"" Traditionally called out Frequently used in the phrase ""run amok"" Appears in idioms (e.g., ""like pulling teeth"") Might be drawn out to ""yeaaah"" for emphasis Is short for ""oll korrect"" Used to signify that things are all right Means ""crazy"" or ""insane"" Means crazy or insane Means ""crazy"" in Spanish Used informally in English to describe something wild or insane Means crazy in Spanish Used in sentences like ""That is ours."" Used to describe doing something well Used in giving reassurance Used in phrases like ""moot point"" or ""moot case"" Used with ""too,"" ""so,"" and ""very"" Often used in the phrase ""as is my wont"" Means at all times",used_phrase_phrases_like_expressions,True
slew,Has a connotation of abundance or excess,1220,"Has a connotation of abundance or excess Typically used to describe something that is abundant Has synonyms like multitude, abundance, and heap Conveys a sense of excess or abundance Indicates abundance or excess May suggest a sense of overwhelm due to the large number of items or entities it describes Conveys the idea of ample supply Represents abundance or excess Might imply a generous or ample amount of space Is abundant May suggest abundance or excess Conveys a sense of abundance or aplomb May be used metaphorically to describe other things as rich or abundant Conveys an impression of extremes, as in megadrought Used to express an abundance Can suggest adequacy, as in ""just enough""",abundance_excess_abundant_ample_conveys,True
mint,Is a herb,1999,Is a herb Is a herb Is a herb Is an herb Is an herb Is an herb Is a herb Is an herb Is an herb Is an herb Is an herb,herb_zygote_faults_fatales_fatalism,True
mint,Has a refreshing taste,342,Has a refreshing taste Has a refreshing taste Has a refreshing flavor Gives a sense of freshness Feels fresh Has a refreshing taste Has a refreshing effect Has a refreshing quality Has a refreshing taste Has a refreshing effect Has a refreshing effect Can be refreshing Can be refreshing Gives a fresh look Feels refreshing Feels refreshing Can be refreshing Can be refreshing,refreshing_taste_feels_effect_gives,True
mint,Grows in temperate climates,326,Grows in temperate climates Grows in cool and moist areas Grows in temperate climates Grows in temperate climates Grows in various climates Grows in various climates Grows in various climates Grows in various climates Grows in a variety of climates Grows best in temperate climates Grows wild in some regions Grows in various climates Grows best in cool climates Grows well in cooler climates Can be grown in various climates Grows in tropical and subtropical climates Grows in tropical climates Grows in temperate regions Can be grown in moderate climates Grows in shady areas Grows better in certain climates Is commonly grown in temperate climates Can grow in harsh conditions Can grow in various environments Can grow in arid climates Grows in sunny climates Grows in dry climates Can grow in dry climates Can be grown in temperate climates Grows best in temperate regions Can be grown in temperate regions Can thrive in colder climates,climates_grows_temperate_grown_grow,True
mint,Is used to flavor gum,3726,"Is used to flavor gum Is used in mint candies Is used in mint-flavored liqueurs Used in making candies and gum Is used as a flavoring in candy Used for flavoring food Used for flavoring food Used for flavoring food Used to enhance flavor Used as a flavoring agent Can be used to taste Is used in smoothies Is used to flavor pickles Used for flavor ratings, especially in spices and sauces Used to infuse flavors Can be used in smoothies Is used for flavoring Used as flavoring in cooking Used in smoothies Can be used to infuse flavors Used in candies and sour sweets Is used as a food flavoring Is used as a culinary flavoring Is used as a flavoring agent",flavoring_used_candies_smoothies_flavor,True
mint,Has medicinal properties,2026,Has medicinal properties Has medicinal properties Has medicinal properties Has medicinal properties Has culinary and medicinal varieties Has medicinal properties Has astringent qualities Has astringent properties Has astringent properties Has astringent properties May have medicinal properties Has medicinal properties Has medicinal properties Has medicinal properties Has medicinal properties Has medicinal properties Some have medicinal properties Can have medicinal properties Has anti-inflammatory properties Has medicinal properties Has anti-inflammatory properties Can have medicinal properties,medicinal_properties_astringent_inflammatory_anti,True
mint,Used in culinary as a garnish,3024,Used in culinary as a garnish Can be used for garnishing dishes Used for garnishing dishes Often used in garnishes Is used to garnish dishes Is used in garnishes Can be used as a garnish Can be used as a garnish Can be used as a garnish Is sometimes used as a garnish Used as garnish Can garnish and present food attractively Is used to garnish food Used in cocktail garnishes Can provide a decorative garnish,garnish_garnishes_used_garnishing_dishes,True
mint,Used in making tea,1602,Used in making tea Can be used to make tea Can be used to make tea Can be used in teas Can be used in teas Can be used in teas Used in cooking and herbal teas Consumed as tea or tincture Leaves are often used in herbal teas Used in coffee and tea Can be used in teas Used to make tea and coffee Can be used in brewing tea Associated with making tea or pasta Associated with coffee or tea Includes tea leaves for tea Uses tea leaves for tea Used in coffee and tea as a healthier option,tea_teas_coffee_used_leaves,True
mint,Has a square stem,1542,"Has a square stem Has a square stem Has square stems Has stems Has a stem called a petiole Has a central stem Has a long, slender stem Has a stem Has a long, thin stem Has hollow stems Has a long, slender stem Has leaves that grow along the stem Has hollow stems Has long, slender stems Has a hollow stem Has multiple stems Has multiple stems Has a valve stem Has a valve stem Has a stem Has square, woody stems Has a tough stem Has a tough stem Has a tough stem Has tough stems that are usually removed before eating Has a tall, slender stem Has a strong stem Fronds are arranged at the top of an unbranched stem Has thin stems Has a stem on top Has a stem Has a stem Has a white stem Has a stem Has a woody stem Has a stem Has a stem Has a stem Lacks a stem Has a stem Has a stem Contains a stem Includes a stem Has a stem Has a stem",stem_stems_slender_tough_square,True
sale,Involves a transaction,622,"Involves a transaction Involves transaction Is a transaction Transactional event Records a transaction Involves financial transactions Processes payments and transactions Represents a financial transaction Accepted in most transactions Transactional activity Involved in economic transactions Can be a one-time transaction or ongoing Involves a transaction Can be a one-time transaction or ongoing Involves a transaction Represents a completed transaction Refers to a completed transaction Indicates a completed transaction Related to commerce or business transactions Could be a mere formality, as in a transaction Is associated with economic transactions",transaction_transactions_completed_transactional_ongoing,True
sale,Exchange of goods or services,2275,"Exchange of goods or services Exchange of goods or services Involves exchange of goods or services Involves exchange of goods or services Preserving goods Can be exchanged for goods and services Payable by the recipient of goods or services Can be exchanged during cultural or social events Can be exchanged between family members Frequently exchanged for goods and services Can be exchanged for goods and services Exchanges money for goods or services Trading of items or services Exchange of items, goods, or services Exchange of items Trade between two parties Exchanged for labor Can be levied on goods, services, or transactions. Exchange of goods or services for money Exchange of goods or services Exchange of goods or services for money Exchange of goods or services for money Can involve exchange of goods, services, or money May involve exchange of goods or services Involves the exchange of goods, services, or currency Can involve exchange of goods Can involve exchange of services Involves the exchange of goods or services Involves exchange of goods, services, or assets Means the exchange of goods or services for money Involves an exchange of money or another item of value Conveys the idea of exchange or compensation",goods_exchange_services_exchanged_money,True
sale,Often includes discounts,335,"Often includes discounts Can involve discounts May involve coupons or vouchers Can offer discounts May include special offers or deals Could be discounts on products or services May offer loyalty programs or discounts May offer discounts for early payment May offer loyalty programs or discounts May offer discounts or sales Offers items for purchase May offer sales or discounts May be discounted for certain groups Has discounts for certain groups May offer discounts Might offer discounts May offer discounts to locals or frequent users May offer discounts for frequent users Can apply to discounts or sales, as in half price Often implies a discount in pricing Eligible for senior discounts Used in sales or discounts to denote savings Can be reduced through discounts or negotiation Can be reduced by discounts or negotiations Can be affected by discounts or sales Offers no guarantee",discounts_offer_sales_may_loyalty,True
